Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
Sad Movie		Comedy; Drama; Romance	October 21, 2005	Movies with No Deaf Actors | Leading Roles; Movies					Korean Sign Language; Korean	South Korea	x Misuse Sign Language				When Lee Jin-woo rescued Su-eun from a fire they both defied the odds in surviving. He fell in love with her older sister, Soo-jeong Lim, who now desires the brave fireman to propose marriage thinking that this will make him less fearless in facing the flames and lessen her greatest fear. He wishes to do so, but his romantic streak causes him to seek the proper moment. Su-eun works as a “character” in an amusement park. Her face was scared in the fire, and in addition she is a deaf mute. Feeling free to be more forward when in costume behind a large “Raggedy-Ann” head, she approaches a handsome artist who frequents the park to paint. He starts to come infatuated with her, despite never having seen her face or heard her voice. She starts to fall in love with him. Choi Suk-hyun informs her boyfriend, Jung Ha-seok, that she wishes to break up for he is still unemployed after 3 years and she cannot face a future of poverty. He vows to get a job to reverse her feelings, and when a stranger enlists him to tell her boyfriend a final “goodbye” on the phone, he decides that he can turn doing this into an online business and starts a “separation agency.” Busy with her career, Eom Jung-hwa neglects her young son Park Hwi-chan, and he becomes a problem at school. When she is hospitalized he becomes happier since he can visit her anytime and she has time to spend with him. Separation looms as a possible outcome for all of these inter-twined souls who who live and love in Seoul, Korea.	https://deafmovie.org/title/sad-movie/
Salt & Pepper	01 hours 15 minutes		October 31, 2024	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies	Pål Henning Winge; Pia Ingelin Veronika Schrøder; Bülent Yalcin; Lars Otterstedt; Iwona Cichosz-Yggeseth; Camilla Rae Høiberg	Con Mehlum			Norwegian Sign Language	Norway; EUR	50-100% Sign Language Usage				After four long years, three pairs of friends reunite, each hoping that time has stood still. But the pandemic and its aftermath have profoundly changed their lives, bringing hidden truths to the surface. In this fragile reunion, they must confront deep questions: Who am I, and who do the others think I am?	https://deafmovie.org/title/salt-pepper/
Sappy Days		Comedy; Short	May 15, 1927	Shorts with Deaf Actors | Leading Roles; Shorts	Tommy Albert (Emerson Romero)					USA	x Mime				N/A	https://deafmovie.org/title/sappy-days/
Secuestro	01 hours 45 minutes	Drama; Crime; Mystery	August 19, 2016	Movies with Deaf Actors | Leading Roles; Movies	Marc Domenech				Spanish Sign Language; Spanish	Spain					Víctor, a young deaf boy who uses sign language, is found wandering alone by a country road. His mother, Patricia, a prominent lawyer known for media trials, rushes to the hospital after learning of his discovery. Víctor reveals to police that he was kidnapped at school by a strange man. Suspicion falls on Charlie, a man with financial troubles and a pregnant wife, who cannot account for his whereabouts during the abduction. Frustrated by the police’s inaction, Patricia turns to Raúl, Víctor’s father and her former lover, setting off a series of events with uncontrollable consequences.	https://deafmovie.org/title/secuestro/
See for Yourself		Short	November 2, 2019	Shorts with Deaf Actors | Leading Roles; Shorts	Bronek Lemów				English; Australian Sign Language				Free Short		A rural house party spirals into a nightmare for a profoundly Deaf teenager, when her cochlear implant emits an excruciating noise in her head.	https://deafmovie.org/title/see-for-yourself/
See Hear Love	02 hours 12 minutes	Drama; Romance	June 9, 2023	Movies with No Deaf Actors | Leading Roles; Movies					Japanese Sign Language; Japanese	Japan	1-10% Sign Language Usage				Shinji Izumoto, a manga artist, decides to end his life because he is losing his vision. When Hibiki Aida, a fan of his who is deaf, saves him, they embark on a life-changing relationship.	https://deafmovie.org/title/see-hear-love/
See No Evil, Hear No Evil	01 hours 43 minutes	Comedy; Crime	May 12, 1989	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.	https://deafmovie.org/title/see-no-evil-hear-no-evil/
See This News	11 minutes	Comedy; Short	June 11, 2008	Shorts with No Deaf Actors | Leading Roles; Shorts					English	Canada					News Anchor Chad Burner sends out his team of reporters to explore inclusiveness and the need for more sign language Interpreters in the city. Things get a little chaotic when the former cooking host has to act as a regular reporter.	https://deafmovie.org/title/see-this-news/
See Through	11 minutes	Short	January 9, 2019	Shorts with Deaf Actors | Leading Roles; Shorts	Lauren Ridloff; Douglas Ridloff				American Sign Language	USA	50-100% Sign Language Usage				In the moments after a Deaf couple discovers they are pregnant, a coffee shop thrums with everything left unsaid. Starring Tony Award nominee Lauren Ridloff.	https://deafmovie.org/title/see-through/
See What I’m Saying: The Deaf Entertainers Documentary		Documentary	March 19, 2010	x Documentaries by Deaf Directors; x Documentaries	John Maucere; Shoshannah Stern; CJ Jones; Anthony Natale; Bob Hiltermann; Bernard Bragg; Robert DeMayo; Tyrone Giordano; T.L. Forsberg; Steve Longo; Deanne Bray; Ed Chevy; Evelyn Glennie; James Foster; Michelle A. Banks	Hilary Scarl			American Sign Language; English	USA	50-100% Sign Language Usage		Free Documentary		This inspirational documentary follows four deaf entertainers: a comic, drummer, actor and a singer as they attempt to cross over to mainstream audiences. These uniquely talented entertainers overcome great challenges to celebrate success.	https://deafmovie.org/title/see-what-im-saying-the-deaf-entertainers-documentary/
Seeing Voices	01 hours 29 minutes	Documentary	October 1, 2016	x Documentaries; x Documentaries by Non-Deaf Directors					German	Austria					The protagonists of Seeing Voices may not be able to hear, but that doesn’t leave them without words. They don’t lament their inability to hear music or birds singing. But they are denied the right to their mother tongue. They employ different techniques to master their lives, walking the line between the hearing of the world – and refusing to be silent.	https://deafmovie.org/title/seeing-voices/
Seek The World			February 1, 2017	x Docuseries by Deaf Directors; x Docuseries		Calvin Young			American Sign Language	USA	50-100% Sign Language Usage		Kids Free; Free Docuseries		Calvin Young | Seek the World – A Deaf Travel Vlog & Adventurer	https://deafmovie.org/title/seek-the-world/
Senza parole	9 minutes	Short	June 22, 1996	Shorts with No Deaf Actors | Leading Roles; Shorts					Italian Sign Language; Italian	Italy	1-10% Sign Language Usage		Free Short		A man falls in love with a deaf girl. He learns sign language and pretends to be mute in order to woo her.	https://deafmovie.org/title/senza-parole/
September 11	02 hours 14 minutes	Drama	August 5, 2002	x Documentaries by Non-Deaf Directors	Emmanuelle Laborit				French Sign Language	France; EUR					The effects of the 9/11 terrorist attacks are told from different points of view around the world.	https://deafmovie.org/title/september-11/
September 11th	10 minutes	Drama; Short	October 15, 2012	Shorts											September 11 is a personal account of the effects of September 11 2001 on a young Deaf Muslim teenager, who faces racism from both inside and outside the Deaf community, making her question her faith.	https://deafmovie.org/title/september-11th/
Shablul Bamidbar	01 hours 15 minutes	Documentary	July 18, 2008	x Documentaries; x Documentaries by Non-Deaf Directors					Arabic; Hebrew	Israel					In the picturesque Israeli Negev desert lays the Bedouin Village of El-Sayed. It has the largest percentage of deaf people in the world yet, no hearing aids can be seen because in El-Sayed deafness is not a handicap. The tranquility of the village is interrupted by Salim El-Sayed’s decision to change his deaf son’s fate using the Cochlear Implant Operation. This bionic implanted chip, that can make deaf people hear, is slowly reaching more secluded areas, even to El-Sayed which has neither paved roads nor electricity. Salim’s decision is evoking great conflict in the village threatening the tradition of coexistence between deaf and hearing. “Voices from El-Sayed” is a unique and moving documentary offering us intimate cinematic dialogue with El-Sayed’s marvelous silent people.	https://deafmovie.org/title/shablul-bamidbar/
Sicario: Day of the Soldado		Action; Drama; Thriller; Crime	June 18, 2018	Movies with No Deaf Actors | Leading Roles; Movies					English	USA	x Misuse Sign Language; 0–1% Sign Language Usage				The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.	https://deafmovie.org/title/sicario-day-of-the-soldado/
Sierra Burgess Is a Loser	01 hours 45 minutes	Comedy; Drama; Romance	September 7, 2018	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					Initially mistaken for a psychotic thriller, the main character Sierra Burgess goes on wacky misadventures as she catfishes a guy she likes, humiliates a girl who was nothing but nice to her because she ended up with a girl that Sierra doesn’t deserve and sexually assults said guy. Wow, what a romantic movie.	https://deafmovie.org/title/sierra-burgess-is-a-loser/
Sign	15 minutes		July 9, 2016	Shorts with Deaf Actors | Leading Roles; Shorts	John McGinty; Craig Fogel; Maleni Chitaoo; Josh Castille				American Sign Language; English	USA	50-100% Sign Language Usage		Free Short	tt5529712	‘SIGN’ is a short film that tells, through vignettes, music, and sign language, the story of a relationship between Ben, a hearing man, and Aaron, who is deaf.	https://deafmovie.org/title/tt5529712/
Sign Gene: The First Deaf Superheroes	01 hours 10 minutes	Adventure; Sci-fi; Thriller	September 8, 2017	Movies with Deaf Actors | Supporting Roles; Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies	Hiroshi Vava; Armando Farruya; Myrsos Paletta; Lauren Ridloff; Warren Trofimenkoff; Lucas LaRocca; Nobuyuki Motte; Erika Trofimenkoff; Abi Plotka; Susan Mather; Andrew Rubin; Mike Russo; Hideaki Nasu; Carrey Ballard; Rex Sean Shephard; Cristina Insolera; David Bahan; Hotaru Hasegawa; Vanessa Faraone; Juliana Bahan; Masashi Yanai; Jeremy Lee Scott; Lance Brewer; Hiroshi Maeda; George Perez; Paige Brewer; Iseki Reida; Emilio Insolera; Roy Stetzer; Ethan Sonnenstrahl; Saeki Uyumasa; Ben Bahan; Jeremy Lee Sanchez; Jad Gore; Hector Chiaza; Humberto Insolera; Summa Crider; Jake Grindstaff; Darren Fudenske; Carola Insolera; Christine Sun Kim; Kumiko Tokumitsu; Jason Lamberton; Jesse Thomas; Yelena Abramov; Nina Yamaguchi; Jon Lamberton; David Rivera; Ben Moore; Yoriko Karasaki; Austin Cerasoli; Ana Insolera; David Day; Alfio Insolera	Emilio Insolera	Emilio Insolera		American Sign Language; Japanese Sign Language; Italian Sign Language; English; Italian; Japanese	USA; Italy; Japan; EUR	50-100% Sign Language Usage			tt4715060	A deaf agent from New York City is sent to Japan to investigate a series of crimes that are being committed by deaf mutants.	https://deafmovie.org/title/signgene/
